"No.","Time","Source","Destination","Protocol","Length","Leftover Captured Data"
"140","47.869303","2.11.1","host","USB","72","0200000000000000"
"142","48.317233","2.11.1","host","USB","72","0200060000000000"
"144","48.373245","2.11.1","host","USB","72","0200000000000000"
"146","48.765263","2.11.1","host","USB","72","0200060000000000"
"148","48.837225","2.11.1","host","USB","72","0200000000000000"
"150","48.973267","2.11.1","host","USB","72","0000000000000000"
"152","49.989253","2.11.1","host","USB","72","0000110000000000"
"154","50.069207","2.11.1","host","USB","72","0000000000000000"
"156","50.237209","2.11.1","host","USB","72","0000070000000000"
"158","50.421255","2.11.1","host","USB","72","0000071600000000"
"160","50.437240","2.11.1","host","USB","72","0000160000000000"
"162","50.453208","2.11.1","host","USB","72","0000160900000000"
"164","50.493216","2.11.1","host","USB","72","0000090000000000"
"166","50.605211","2.11.1","host","USB","72","00000b0000000000"
"168","50.685212","2.11.1","host","USB","72","0000000000000000"
"170","51.421244","2.11.1","host","USB","72","0200000000000000"
"172","51.621238","2.11.1","host","USB","72","02000c0000000000"
"174","51.701204","2.11.1","host","USB","72","0200000000000000"
"176","51.717198","2.11.1","host","USB","72","0000000000000000"
"178","52.133367","2.11.1","host","USB","72","0000160000000000"
"180","52.205209","2.11.1","host","USB","72","0000160700000000"
"182","52.269209","2.11.1","host","USB","72","0000070900000000"
"184","52.301255","2.11.1","host","USB","72","0000090000000000"
"186","52.413204","2.11.1","host","USB","72","0000091600000000"
"188","52.437200","2.11.1","host","USB","72","0000160000000000"
"190","52.517191","2.11.1","host","USB","72","0000000000000000"
"192","52.797221","2.11.1","host","USB","72","0000050000000000"
"194","52.925187","2.11.1","host","USB","72","0000000000000000"
"196","53.525194","2.11.1","host","USB","72","00000f0000000000"
"198","53.597200","2.11.1","host","USB","72","0000000000000000"
"200","53.829213","2.11.1","host","USB","72","0000390000000000"
"204","54.141188","2.11.1","host","USB","72","0000000000000000"
"206","55.285169","2.11.1","host","USB","72","0000170000000000"
"208","55.365174","2.11.1","host","USB","72","0000000000000000"
"210","57.901164","2.11.1","host","USB","72","0000390000000000"
"212","57.965144","2.11.1","host","USB","72","0000000000000000"
"216","58.973178","2.11.1","host","USB","72","0000390000000000"
"220","59.053153","2.11.1","host","USB","72","0000000000000000"
"222","59.301168","2.11.1","host","USB","72","0200000000000000"
"224","59.477151","2.11.1","host","USB","72","02002f0000000000"
"226","59.565135","2.11.1","host","USB","72","0200000000000000"
"228","59.589163","2.11.1","host","USB","72","0000000000000000"
"230","60.301123","2.11.1","host","USB","72","0000390000000000"
"232","60.381171","2.11.1","host","USB","72","0000000000000000"
"236","61.765127","2.11.1","host","USB","72","0000070000000000"
"238","61.781122","2.11.1","host","USB","72","0000070900000000"
"240","61.829153","2.11.1","host","USB","72","0000090000000000"
"242","61.885120","2.11.1","host","USB","72","0000000000000000"
"244","62.373158","2.11.1","host","USB","72","0000180000000000"
"246","62.485112","2.11.1","host","USB","72","0000000000000000"
"248","62.621155","2.11.1","host","USB","72","0000080000000000"
"250","62.757150","2.11.1","host","USB","72","0000000000000000"
"252","63.061141","2.11.1","host","USB","72","00000a0000000000"
"254","63.213151","2.11.1","host","USB","72","0000000000000000"
"256","63.309106","2.11.1","host","USB","72","0000080000000000"
"258","63.445102","2.11.1","host","USB","72","0000000000000000"
"260","64.205093","2.11.1","host","USB","72","0200000000000000"
"262","64.445095","2.11.1","host","USB","72","02000e0000000000"
"264","64.509118","2.11.1","host","USB","72","0000000000000000"
"266","65.157127","2.11.1","host","USB","72","0000070000000000"
"268","65.309103","2.11.1","host","USB","72","0000000000000000"
"270","65.741124","2.11.1","host","USB","72","00000a0000000000"
"272","65.853113","2.11.1","host","USB","72","0000000000000000"
"274","66.191501","2.11.1","host","USB","72","0000110000000000"
"276","66.277120","2.11.1","host","USB","72","0000000000000000"
"278","66.541095","2.11.1","host","USB","72","0000160000000000"
"280","66.613099","2.11.1","host","USB","72","0000000000000000"
"282","67.365122","2.11.1","host","USB","72","0200000000000000"
"284","67.581113","2.11.1","host","USB","72","0200080000000000"
"286","67.637074","2.11.1","host","USB","72","0200000000000000"
"288","67.669073","2.11.1","host","USB","72","0000000000000000"
"290","69.341042","2.11.1","host","USB","72","00000b0000000000"
"292","69.437055","2.11.1","host","USB","72","0000000000000000"
"294","69.549071","2.11.1","host","USB","72","0000110000000000"
"296","69.645069","2.11.1","host","USB","72","0000000000000000"
"298","69.965087","2.11.1","host","USB","72","0200000000000000"
"300","70.101090","2.11.1","host","USB","72","02001c0000000000"
"302","70.149050","2.11.1","host","USB","72","00001c0000000000"
"304","70.173040","2.11.1","host","USB","72","0000000000000000"
"306","72.621048","2.11.1","host","USB","72","0000070000000000"
"308","72.813055","2.11.1","host","USB","72","0000000000000000"
"310","72.837018","2.11.1","host","USB","72","0000090000000000"
"312","72.933015","2.11.1","host","USB","72","0000000000000000"
"314","73.005041","2.11.1","host","USB","72","0000070000000000"
"316","73.125078","2.11.1","host","USB","72","0000090000000000"
"318","73.241328","2.11.1","host","USB","72","0000000000000000"
"320","73.261032","2.11.1","host","USB","72","0000070000000000"
"322","73.341046","2.11.1","host","USB","72","0000090000000000"
"324","73.437012","2.11.1","host","USB","72","0000070000000000"
"326","73.517030","2.11.1","host","USB","72","0000090000000000"
"328","73.581032","2.11.1","host","USB","72","0000000000000000"
"330","73.877026","2.11.1","host","USB","72","0000120000000000"
"332","74.013033","2.11.1","host","USB","72","0000000000000000"
"334","74.077024","2.11.1","host","USB","72","0000080000000000"
"336","74.247840","2.11.1","host","USB","72","0000000000000000"
"338","74.421011","2.11.1","host","USB","72","0000170000000000"
"340","74.517039","2.11.1","host","USB","72","0000150d08000000"
"342","74.556999","2.11.1","host","USB","72","00000d1200000000"
"344","74.613024","2.11.1","host","USB","72","00000d120c000000"
"346","74.669008","2.11.1","host","USB","72","00000d0000000000"
"348","74.685010","2.11.1","host","USB","72","0000000000000000"
"350","75.237189","2.11.1","host","USB","72","0200000000000000"
"352","75.333039","2.11.1","host","USB","72","0200050000000000"
"354","75.397022","2.11.1","host","USB","72","0200000000000000"
"356","75.405093","2.11.1","host","USB","72","0000000000000000"
"358","76.229024","2.11.1","host","USB","72","0000120000000000"
"360","76.301034","2.11.1","host","USB","72","0000000000000000"
"362","76.701009","2.11.1","host","USB","72","0000160000000000"
"364","76.781034","2.11.1","host","USB","72","0000160700000000"
"366","76.820989","2.11.1","host","USB","72","0000070000000000"
"368","76.844994","2.11.1","host","USB","72","0000070900000000"
"370","76.877007","2.11.1","host","USB","72","0000090000000000"
"372","77.005020","2.11.1","host","USB","72","0000000000000000"
"374","77.212982","2.11.1","host","USB","72","0000150000000000"
"376","77.349012","2.11.1","host","USB","72","0000000000000000"
"378","77.652984","2.11.1","host","USB","72","0200000000000000"
"380","77.773012","2.11.1","host","USB","72","0200120000000000"
"382","77.861004","2.11.1","host","USB","72","0000000000000000"
"384","78.740969","2.11.1","host","USB","72","0000050000000000"
"386","78.909020","2.11.1","host","USB","72","0000051700000000"
"388","78.924997","2.11.1","host","USB","72","0000170000000000"
"390","78.948962","2.11.1","host","USB","72","0000171c00000000"
"392","79.012977","2.11.1","host","USB","72","00001c0000000000"
"394","79.060955","2.11.1","host","USB","72","00001c0d00000000"
"396","79.108991","2.11.1","host","USB","72","00000d0000000000"
"398","79.228995","2.11.1","host","USB","72","0000000000000000"
"400","79.773008","2.11.1","host","USB","72","0200000000000000"
"402","80.044981","2.11.1","host","USB","72","0000000000000000"
"404","80.268968","2.11.1","host","USB","72","0000110000000000"
"406","80.388972","2.11.1","host","USB","72","0000110c00000000"
"408","80.436979","2.11.1","host","USB","72","00000c0000000000"
"410","80.532960","2.11.1","host","USB","72","00001c0000000000"
"412","80.660983","2.11.1","host","USB","72","0000000000000000"
"414","80.788965","2.11.1","host","USB","72","0000170000000000"
"416","80.933001","2.11.1","host","USB","72","0000000000000000"
"418","81.396974","2.11.1","host","USB","72","0200000000000000"
"420","81.605009","2.11.1","host","USB","72","0200150000000000"
"422","81.660945","2.11.1","host","USB","72","0000000000000000"
"424","82.181205","2.11.1","host","USB","72","00000c0000000000"
"426","82.276964","2.11.1","host","USB","72","00000c0d00000000"
"428","82.292972","2.11.1","host","USB","72","00000d0000000000"
"430","82.348956","2.11.1","host","USB","72","0000120000000000"
"432","82.500965","2.11.1","host","USB","72","0000000000000000"
"434","82.676954","2.11.1","host","USB","72","0000330f00000000"
"436","82.780978","2.11.1","host","USB","72","0000000000000000"
"438","83.572975","2.11.1","host","USB","72","0200000000000000"
"440","83.788986","2.11.1","host","USB","72","0200070000000000"
"442","83.884951","2.11.1","host","USB","72","0200000000000000"
"444","83.900918","2.11.1","host","USB","72","0000000000000000"
"446","85.804960","2.11.1","host","USB","72","0200000000000000"
"448","86.164984","2.11.1","host","USB","72","02002d0000000000"
"450","86.252960","2.11.1","host","USB","72","0200000000000000"
"452","86.268919","2.11.1","host","USB","72","0000000000000000"
"454","87.988931","2.11.1","host","USB","72","0000390000000000"
"458","88.060912","2.11.1","host","USB","72","0000000000000000"
"460","88.796895","2.11.1","host","USB","72","0000060000000000"
"462","88.868912","2.11.1","host","USB","72","0000000000000000"
"464","89.020917","2.11.1","host","USB","72","0000040000000000"
"466","89.092904","2.11.1","host","USB","72","0000000000000000"
"468","89.780948","2.11.1","host","USB","72","0000130000000000"
"470","89.860901","2.11.1","host","USB","72","0000000000000000"
"472","89.948888","2.11.1","host","USB","72","0000160000000000"
"474","90.020923","2.11.1","host","USB","72","0000000000000000"
"476","90.412904","2.11.1","host","USB","72","0000390000000000"
"478","90.500895","2.11.1","host","USB","72","0000000000000000"
"482","90.884903","2.11.1","host","USB","72","0200000000000000"
"484","91.116886","2.11.1","host","USB","72","02002d0000000000"
"486","91.204895","2.11.1","host","USB","72","0000000000000000"
"488","94.804856","2.11.1","host","USB","72","0000340000000000"
"490","94.860845","2.11.1","host","USB","72","0000000000000000"
"492","95.028837","2.11.1","host","USB","72","0000330000000000"
"494","95.084852","2.11.1","host","USB","72","0000000000000000"
"496","95.416811","2.11.1","host","USB","72","00002f0000000000"
"498","95.508874","2.11.1","host","USB","72","0000000000000000"
"500","95.676838","2.11.1","host","USB","72","00002f0000000000"
"502","95.844882","2.11.1","host","USB","72","0000000000000000"
"504","95.996863","2.11.1","host","USB","72","0000330000000000"
"506","96.100868","2.11.1","host","USB","72","0000333400000000"
"508","96.196831","2.11.1","host","USB","72","0000340000000000"
"510","96.220846","2.11.1","host","USB","72","0000370000000000"
"512","96.284826","2.11.1","host","USB","72","0000000000000000"
"514","96.348832","2.11.1","host","USB","72","0000090000000000"
"516","96.548869","2.11.1","host","USB","72","00000a0000000000"
"518","96.692854","2.11.1","host","USB","72","0000000000000000"
"520","96.876862","2.11.1","host","USB","72","0000080000000000"
"522","97.100808","2.11.1","host","USB","72","0000000000000000"
"524","97.236830","2.11.1","host","USB","72","0000080000000000"
"526","97.308816","2.11.1","host","USB","72","0000000000000000"
"528","97.588802","2.11.1","host","USB","72","0000010101010101"
"530","97.724898","2.11.1","host","USB","72","0000000000000000"
"532","97.884830","2.11.1","host","USB","72","0000150000000000"
"534","98.004805","2.11.1","host","USB","72","0000000000000000"
"536","98.028813","2.11.1","host","USB","72","0000080000000000"
"538","98.124818","2.11.1","host","USB","72","0000000000000000"
"540","98.364838","2.11.1","host","USB","72","0000150000000000"
"542","98.441746","2.11.1","host","USB","72","0000151700000000"
"544","98.453008","2.11.1","host","USB","72","0000170000000000"
"546","98.524838","2.11.1","host","USB","72","0000000000000000"
"548","99.132848","2.11.1","host","USB","72","0200000000000000"
"550","99.348800","2.11.1","host","USB","72","0200150000000000"
"552","99.388813","2.11.1","host","USB","72","0000150000000000"
"554","99.412786","2.11.1","host","USB","72","0000000000000000"
"556","100.108839","2.11.1","host","USB","72","0000071600000000"
"558","100.204793","2.11.1","host","USB","72","0000160000000000"
"560","100.244815","2.11.1","host","USB","72","0000000000000000"
"562","100.324852","2.11.1","host","USB","72","0000090000000000"
"564","100.468926","2.11.1","host","USB","72","0000000000000000"
"566","100.828812","2.11.1","host","USB","72","0000070000000000"
"568","100.932810","2.11.1","host","USB","72","00000b0000000000"
"570","101.020788","2.11.1","host","USB","72","0000000000000000"
"572","101.484787","2.11.1","host","USB","72","0000180000000000"
"574","101.540903","2.11.1","host","USB","72","0000000000000000"
"576","102.692815","2.11.1","host","USB","72","0200000000000000"
"578","102.828780","2.11.1","host","USB","72","02000f0000000000"
"580","102.868764","2.11.1","host","USB","72","0000000000000000"
"582","107.684763","2.11.1","host","USB","72","00002a0000000000"
"584","107.756760","2.11.1","host","USB","72","0000000000000000"
"586","108.028757","2.11.1","host","USB","72","0200000000000000"
"588","108.260754","2.11.1","host","USB","72","0200180000000000"
"590","108.340764","2.11.1","host","USB","72","0200000000000000"
"592","108.348739","2.11.1","host","USB","72","0000000000000000"
"594","109.644726","2.11.1","host","USB","72","0000160000000000"
"596","109.724762","2.11.1","host","USB","72","0000160700000000"
"598","109.756733","2.11.1","host","USB","72","0000070000000000"
"600","109.780713","2.11.1","host","USB","72","0000000000000000"
"602","109.844698","2.11.1","host","USB","72","0000090000000000"
"604","109.948719","2.11.1","host","USB","72","0000090800000000"
"606","109.980738","2.11.1","host","USB","72","0000080000000000"
"608","110.020733","2.11.1","host","USB","72","0000081500000000"
"610","110.108705","2.11.1","host","USB","72","0000000000000000"
"612","110.452705","2.11.1","host","USB","72","0200000000000000"
"614","110.700722","2.11.1","host","USB","72","02000f0000000000"
"616","110.796733","2.11.1","host","USB","72","0000000000000000"
"618","112.012749","2.11.1","host","USB","72","0000070000000000"
"620","112.084767","2.11.1","host","USB","72","0000070900000000"
"622","112.100696","2.11.1","host","USB","72","0000090000000000"
"624","112.148723","2.11.1","host","USB","72","0000000000000000"
"626","112.276725","2.11.1","host","USB","72","0000160000000000"
"628","112.332704","2.11.1","host","USB","72","0000000000000000"
"630","112.484717","2.11.1","host","USB","72","00000b0000000000"
"632","112.620695","2.11.1","host","USB","72","00000b1700000000"
"634","112.660712","2.11.1","host","USB","72","0000170000000000"
"636","112.820732","2.11.1","host","USB","72","0000000000000000"
"638","113.292726","2.11.1","host","USB","72","0200000000000000"
"640","113.556712","2.11.1","host","USB","72","0200170000000000"
"642","113.652687","2.11.1","host","USB","72","0200171c00000000"
"644","113.692684","2.11.1","host","USB","72","02001c0000000000"
"646","113.780707","2.11.1","host","USB","72","02001c1800000000"
"648","113.804697","2.11.1","host","USB","72","0200180000000000"
"650","113.940690","2.11.1","host","USB","72","0200000000000000"
"652","113.988696","2.11.1","host","USB","72","0000000000000000"
"654","114.732710","2.11.1","host","USB","72","00002a0000000000"
"656","114.812684","2.11.1","host","USB","72","0000000000000000"
"658","114.956712","2.11.1","host","USB","72","00002a0000000000"
"660","115.044689","2.11.1","host","USB","72","0000000000000000"
"662","115.564649","2.11.1","host","USB","72","00002a0000000000"
"664","115.644662","2.11.1","host","USB","72","0000000000000000"
"666","116.756683","2.11.1","host","USB","72","0200000000000000"
"668","116.956725","2.11.1","host","USB","72","0200080000000000"
"670","117.036680","2.11.1","host","USB","72","0200000000000000"
"672","117.052655","2.11.1","host","USB","72","0000000000000000"
"674","117.548687","2.11.1","host","USB","72","0200000000000000"
"676","117.932645","2.11.1","host","USB","72","0200160000000000"
"678","118.012664","2.11.1","host","USB","72","0000000000000000"
"680","118.588624","2.11.1","host","USB","72","0200000000000000"
"682","118.900675","2.11.1","host","USB","72","0200300000000000"
"684","118.964649","2.11.1","host","USB","72","0000000000000000"
